customer_code,customer_name,customer_type,market_code
CUST_001,Omni Systems #1,Brick & Mortar,MKT_IN_N
CUST_002,Quantum Retail #2,E-Commerce,MKT_NA_W
CUST_003,Omni Enterprise #3,Brick & Mortar,MKT_ME_DB
CUST_004,Vanguard Tech #4,Brick & Mortar,MKT_NA_W
CUST_005,Quantum Retail #5,Brick & Mortar,MKT_LATAM_BR
CUST_006,Quantum Enterprise #6,Corporate Reseller,MKT_EU_UK
CUST_007,Horizon Networks #7,Wholesale Distributor,MKT_NA_E
CUST_008,Beacon Electronics #8,E-Commerce,MKT_APAC_SG
CUST_009,Starlight Global #9,E-Commerce,MKT_EU_UK
CUST_010,Beacon Logistics #10,Brick & Mortar,MKT_NA_W
CUST_011,Vanguard Systems #11,Wholesale Distributor,MKT_IN_S
CUST_012,Titan Global #12,Brick & Mortar,MKT_APAC_JP
CUST_013,Pinnacle Systems #13,Corporate Reseller,MKT_NA_W
CUST_014,Pinnacle Global #14,Wholesale Distributor,MKT_ME_DB
CUST_015,Quantum Enterprise #15,Brick & Mortar,MKT_NA_E
CUST_016,Omni Retail #16,Wholesale Distributor,MKT_NA_W
CUST_017,Crest Retail #17,Brick & Mortar,MKT_APAC_SG
CUST_018,Synergy Direct #18,Wholesale Distributor,MKT_EU_C
CUST_019,Starlight Logistics #19,E-Commerce,MKT_IN_N
CUST_020,Delta Mart #20,Brick & Mortar,MKT_ME_DB
CUST_021,Omni Solutions #21,E-Commerce,MKT_EU_C
CUST_022,Horizon Digital #22,Wholesale Distributor,MKT_LATAM_BR
CUST_023,Quantum Mart #23,Wholesale Distributor,MKT_NA_E
CUST_024,Quantum Tech #24,Wholesale Distributor,MKT_APAC_SG
CUST_025,Synergy Systems #25,E-Commerce,MKT_ME_DB
CUST_026,Summit Enterprise #26,Wholesale Distributor,MKT_EU_UK
CUST_027,Omni Direct #27,Corporate Reseller,MKT_APAC_JP
CUST_028,Vertex Global #28,E-Commerce,MKT_EU_UK
CUST_029,Delta Hub #29,Wholesale Distributor,MKT_ME_DB
CUST_030,Vanguard Networks #30,Corporate Reseller,MKT_IN_S
CUST_031,Quantum Solutions #31,Corporate Reseller,MKT_NA_W
CUST_032,Beacon Tech #32,Brick & Mortar,MKT_EU_C
CUST_033,Omni Solutions #33,Corporate Reseller,MKT_ME_DB
CUST_034,Nexus Digital #34,Corporate Reseller,MKT_ME_DB
CUST_035,Horizon Hub #35,Wholesale Distributor,MKT_LATAM_BR
CUST_036,Crest Tech #36,Brick & Mortar,MKT_LATAM_BR
CUST_037,Beacon Global #37,Wholesale Distributor,MKT_NA_W
CUST_038,Synergy Digital #38,E-Commerce,MKT_APAC_JP
