market_code,target_year,target_month,target_sales
MKT_NA_E,2023,1,750576.37
MKT_NA_W,2023,1,676531.81
MKT_EU_C,2023,1,584805.26
MKT_EU_UK,2023,1,473352.17
MKT_IN_N,2023,1,421503.92
MKT_IN_S,2023,1,458454.76
MKT_APAC_SG,2023,1,370906.73
MKT_APAC_JP,2023,1,522212.0
MKT_LATAM_BR,2023,1,312717.02
MKT_ME_DB,2023,1,342017.47
MKT_NA_E,2023,2,779458.8
MKT_NA_W,2023,2,690876.82
MKT_EU_C,2023,2,609309.92
MKT_EU_UK,2023,2,507083.59
MKT_IN_N,2023,2,430598.08
MKT_IN_S,2023,2,458429.15
MKT_APAC_SG,2023,2,386198.7
MKT_APAC_JP,2023,2,538382.26
MKT_LATAM_BR,2023,2,319758.58
MKT_ME_DB,2023,2,358157.51
MKT_NA_E,2023,3,821870.02
MKT_NA_W,2023,3,747245.46
MKT_EU_C,2023,3,665784.13
MKT_EU_UK,2023,3,530567.21
MKT_IN_N,2023,3,468702.96
MKT_IN_S,2023,3,516129.35
MKT_APAC_SG,2023,3,405043.05
MKT_APAC_JP,2023,3,582208.7
MKT_LATAM_BR,2023,3,351088.49
MKT_ME_DB,2023,3,372581.81
MKT_NA_E,2023,4,790582.75
MKT_NA_W,2023,4,707499.76
MKT_EU_C,2023,4,632542.73
MKT_EU_UK,2023,4,513532.42
MKT_IN_N,2023,4,453670.79
MKT_IN_S,2023,4,488987.32
MKT_APAC_SG,2023,4,398184.23
MKT_APAC_JP,2023,4,555029.49
MKT_LATAM_BR,2023,4,339141.18
MKT_ME_DB,2023,4,368043.07
MKT_NA_E,2023,5,863759.58
MKT_NA_W,2023,5,770072.79
MKT_EU_C,2023,5,660396.9
MKT_EU_UK,2023,5,562561.67
MKT_IN_N,2023,5,482179.88
MKT_IN_S,2023,5,519281.77
MKT_APAC_SG,2023,5,431157.09
MKT_APAC_JP,2023,5,592750.06
MKT_LATAM_BR,2023,5,347689.72
MKT_ME_DB,2023,5,399164.41
MKT_NA_E,2023,6,884464.61
MKT_NA_W,2023,6,766754.32
MKT_EU_C,2023,6,703364.53
MKT_EU_UK,2023,6,571093.56
MKT_IN_N,2023,6,501286.11
MKT_IN_S,2023,6,530025.41
MKT_APAC_SG,2023,6,422563.53
MKT_APAC_JP,2023,6,611472.77
MKT_LATAM_BR,2023,6,354619.32
MKT_ME_DB,2023,6,401830.68
MKT_NA_E,2023,7,813292.94
MKT_NA_W,2023,7,714482.87
MKT_EU_C,2023,7,652259.07
MKT_EU_UK,2023,7,530014.18
MKT_IN_N,2023,7,464214.11
MKT_IN_S,2023,7,489800.78
